ARTPOP,2013-11-11,Venus,2013-11-11,1.14,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,4.08
ARTPOP,2013-11-11,Swine,2013-11-11,1.41,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,4.09
ARTPOP,2013-11-11,Sexxx Dreams,2013-11-11,7.09,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,3.47
ARTPOP,2013-11-11,Mary Jane Holland,2013-11-11,8.19,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,4.38
ARTPOP,2013-11-11,MANiCURE,2013-11-11,3.56,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,3.42
ARTPOP,2013-11-11,Jewels N' Drugs,2013-11-11,1.9,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,4.25
ARTPOP,2013-11-11,Gypsy,2013-11-11,6.18,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,4.29
ARTPOP,2013-11-11,G.U.Y.,2013-11-11,7.26,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,3.56
ARTPOP,2013-11-11,Fashion!,2013-11-11,9.99,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,3.2
ARTPOP,2013-11-11,Dope,2013-11-11,5.8,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,3.35
ARTPOP,2013-11-11,Donatella,2013-11-11,1.96,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,3.48
ARTPOP,2013-11-11,Do What U Want,2013-11-11,1.93,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,4
ARTPOP,2013-11-11,Aura,2013-11-11,3.66,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,3.32
ARTPOP,2013-11-11,ARTPOP,2013-11-11,3.2,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,3.53
ARTPOP,2013-11-11,Applause,2013-11-11,9.82,http://cps-static.rovicorp.com/3/JPG_400/MI0003/672/MI0003672873.jpg?partner=allrovi.com,Pop/Rock,3.54
Back to Basics,2006-08-15,Without You,2006-08-15,9.82,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",1.47
Back to Basics,2006-08-15,Welcome,2006-08-15,8.05,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",3.36
Back to Basics,2006-08-15,Understand,2006-08-15,8.23,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",1.42
Back to Basics,2006-08-15,The Right Man,2006-08-15,6.08,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",2.42
Back to Basics,2006-08-15,Thank You (Dedication to Fans),2006-08-15,2.87,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",4.45
Back to Basics,2006-08-15,Still Dirrty,2006-08-15,8.85,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",4.1
Back to Basics,2006-08-15,Slow Down Baby,2006-08-15,8.45,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",2.21
Back to Basics,2006-08-15,Save Me From Myself,2006-08-15,2.31,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",3.46
Back to Basics,2006-08-15,On Our Way,2006-08-15,4.28,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",3.44
Back to Basics,2006-08-15,Oh Mother,2006-08-15,5.06,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",3.19
Back to Basics,2006-08-15,Nasty Naughty Boy,2006-08-15,3.32,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",3.29
Back to Basics,2006-08-15,Mercy on Me,2006-08-15,4.83,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",6.23
Back to Basics,2006-08-15,Makes Me Wanna Pray,2006-08-15,6.23,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",4.13
Back to Basics,2006-08-15,Intro (Back to Basics),2006-08-15,7.56,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",3.48
Back to Basics,2006-08-15,I Got Trouble,2006-08-15,3.99,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",3.46
Back to Basics,2006-08-15,Hurt,2006-08-15,6,http://cps-static.rovicorp.com/3/JPG_400/MI0001/985/MI0001985088.jpg?partner=allrovi.com,"Pop/Rock,R&B,",4.58
